date,sport,player,team,opponent,home,prop_type,line,player_avg_last5,player_std_last5,minutes_avg_last5,opp_def_rank,opp_pace,rest_days,american_odds
2025-11-18,NBA,Jayson Tatum,BOS,BKN,0,points,27.5,28.3,4.2,30.5,100.8,2,-110
2025-11-18,NBA,Jaylen Brown,BOS,BKN,0,rebounds,7.5,8.0,2.1,24.3,100.8,2,+105
2025-11-18,NBA,Malcolm Brogdon,BKN,BOS,1,assists,5.5,6.2,1.5,26.7,102.5,2,-115
2025-11-18,NBA,Donte DiVincenzo,BKN,BOS,1,points,14.5,15.2,3.3,30.5,102.5,2,+110
2025-11-18,NBA,Giannis Antetokounmpo,MIL,CHI,1,points,31.5,32.1,4.8,34.2,101.2,2,-120
2025-11-18,NBA,Damian Lillard,MIL,CHI,1,three_pointers_made,3.5,4.0,1.8,36.0,101.2,2,+105
2025-11-18,NBA,DeMar DeRozan,CHI,MIL,0,points,22.5,21.8,5.2,35.1,99.9,1,-110
2025-11-18,NBA,Zach LaVine,CHI,MIL,0,points,24.5,25.2,6.0,33.8,99.9,1,+100
2025-11-18,NBA,Brook Lopez,MIL,CHI,1,rebounds,6.5,5.9,2.4,30.5,101.2,2,+120
2025-11-18,NBA,Coby White,CHI,MIL,0,assists,5.5,6.1,1.6,34.5,99.9,1,-110
2025-11-18,NBA,Bobby Portis,MIL,CHI,1,rebounds,8.5,9.1,3.0,24.0,101.2,2,+115
2025-11-18,NBA,Nikola Vuč ević,CHI,MIL,0,rebounds,11.5,12.2,2.9,24.0,99.9,1,-105
2025-11-18,NBA,Patrick Williams,CHI,MIL,0,points,11.5,10.8,3.1,32.2,99.9,1,+120
2025-11-18,NBA,Anthony Davis,LAL,UTA,1,blocks,2.5,3.1,1.0,28.4,104.0,3,+130
2025-11-18,NBA,Luka Dončić,LAL,UTA,1,points,29.5,30.7,4.3,28.7,104.0,3,-125
2025-11-18,NBA,Donovan Mitchell,UTA,LAL,0,points,24.0,23.5,4.5,26.9,100.2,3,+110
2025-11-18,NBA,Lauri Markkanen,UTA,LAL,0,three_pointers_made,2.5,2.8,1.1,26.9,100.2,3,-110
